grass_region,category_group,seller_type,shopee_item_id,shopee_model_id,competitor_item_id,competitor_model_id,shopee_model_price_usd,shopee_model_price,competitor_model_price,shopee_gmv_usd,shopee_order,shopee_model_competitiveness_status
ID,Electronics,Long Tail (LT),5646734211,3953474697,9153508336,992466002,50.34,779233.00,647903.00,8758.54,174.00,Shopee > CPT
SG,FMCG,Long Tail (LT),3735125711,6296885988,3250973377,3554673425,60.00,81.00,94.00,11120.74,187.00,Shopee < CPT
TH,Electronics,Non-Mall,2579813608,1304588577,4678400449,2635346813,18.07,659.00,675.00,3178.82,176.00,Shopee < CPT
PH,FMCG,Long Tail (LT),8699492214,5735505766,9052147161,1100640033,16.02,906.00,861.00,560.41,35.00,Shopee > CPT
TH,FMCG,Long Tail (LT),4815010572,2537451514,1289693311,330522796,169.30,6177.00,7004.00,1523.66,9.00,Shopee < CPT
ID,FMCG,Cross Border,2360234746,8873059029,4373636343,6388067669,304.81,4718650.00,4963058.00,51513.31,169.00,Shopee < CPT
TH,Electronics,Non-Mall,9800132511,3580795314,8493800350,48609194,19.57,713.00,608.00,3869.21,198.00,Shopee > CPT
ID,Lifestyle,Cross Border,4066670015,3392849992,6682615321,6466430183,40.37,624976.00,599679.00,7024.70,174.00,Shopee > CPT
MY,Fashion,Cross Border,9831477701,281518001,8957608032,9867486733,8.32,38.00,34.00,1443.22,178.00,Shopee > CPT
ID,Fashion,Cross Border,1803766116,9789480590,9161538993,6257218394,318.42,4929291.00,4742978.00,19742.00,62.00,Shopee > CPT
ID,FMCG,Mall,1234281420,1679483802,9265679840,4767229257,287.93,4457263.00,4971937.00,47220.12,164.00,Shopee < CPT
TH,Electronics,Non-Mall,9473251059,3376251452,5358320180,4516817178,182.29,6650.00,6445.00,10024.26,55.00,Shopee > CPT
ID,Electronics,Long Tail (LT),4122856018,9863435317,6059424808,3147181346,90.73,1404517.00,1680566.00,17329.08,191.00,Shopee < CPT
MY,Fashion,Cross Border,6237367159,4649091553,8954884470,4018215748,40.25,188.00,174.00,6859.34,171.00,Shopee > CPT
ID,Lifestyle,Mall,3799028368,7173795667,2341012093,8720480772,67.77,1049063.00,1258614.00,13214.51,195.00,Shopee < CPT
VN,Lifestyle,Long Tail (LT),4119550293,3795401671,9773422333,2307363574,180.84,4399406.00,3927891.00,18264.93,101.00,Shopee > CPT
ID,FMCG,Non-Mall,6542930691,1775280548,1930877770,1026468748,18.06,279549.00,241861.00,2925.42,162.00,Shopee > CPT
ID,Lifestyle,Long Tail (LT),8409776064,437577722,1295736902,3819190689,36.99,572580.00,656679.00,5067.24,137.00,Shopee < CPT
MY,Fashion,Mall,4527008742,851197014,6006278155,1637682945,104.93,491.00,578.00,3876.25,37.00,Shopee < CPT
PH,FMCG,Long Tail (LT),3632341535,9854080722,1356766059,7745376784,20.94,1184.00,1279.00,2301.71,110.00,Shopee < CPT
ID,FMCG,Mall,4313002561,8639628362,3508945329,5961806038,143.55,2222163.00,2590064.00,3301.56,23.00,Shopee < CPT
ID,Electronics,Non-Mall,5324283213,2521380657,6181248342,1145322261,298.55,4621765.00,5520366.00,56725.26,190.00,Shopee < CPT
ID,FMCG,Cross Border,5374573406,1788252212,713202061,367623895,259.72,4020658.00,4769030.00,50646.19,195.00,Shopee < CPT
ID,Fashion,Mall,2348519934,2494918914,4236396383,229163840,104.26,1614054.00,1319128.00,6568.61,63.00,Shopee > CPT
SG,FMCG,Cross Border,3358399492,2879355718,5143855428,4996561514,2.31,3.00,2.00,59.47,27.00,Shopee > CPT
ID,Electronics,Cross Border,4413522882,9054586267,4428445173,8394028174,137.24,2124503.00,2499181.00,2744.75,20.00,Shopee < CPT
TH,Electronics,Mall,3418397467,1081053321,5608995741,6137791306,23.18,845.00,961.00,4539.21,196.00,Shopee < CPT
PH,Fashion,Mall,6658382472,4369572988,7713370565,870233289,138.39,7830.00,6365.00,5120.00,37.00,Shopee > CPT
SG,Lifestyle,Cross Border,2526945267,6607345391,5680956956,1306576929,20.86,28.00,27.00,3145.26,153.00,Shopee > CPT
PH,FMCG,Mall,5137440102,1409494249,239501338,8172295891,165.62,9371.00,9510.00,5962.04,36.00,Shopee < CPT
ID,FMCG,Long Tail (LT),3810548128,8692304794,9364821289,1314991517,84.35,1305740.00,1183611.00,3795.63,45.00,Shopee > CPT
ID,Lifestyle,Non-Mall,9632221638,1695405880,3491018540,3921066785,148.11,2292848.00,2268606.00,14811.20,100.00,Shopee > CPT
SG,Electronics,Long Tail (LT),7833494110,9057432001,8814963965,8585285046,15.74,21.00,23.00,2436.03,158.00,Shopee < CPT
MY,Electronics,Non-Mall,41601002,2028884983,4636505634,4010060781,375.76,1761.00,2063.00,15029.60,40.00,Shopee < CPT
PH,Fashion,Mall,4551148001,9112391019,8204390711,9934023025,15.33,867.00,874.00,1792.72,117.00,Shopee < CPT
TH,Fashion,Mall,9546501277,5374226358,1267135540,64281435,164.64,6007.00,5568.00,27164.98,165.00,Shopee > CPT
TH,Lifestyle,Cross Border,9095336594,7395527310,658526650,6036022166,47.76,1742.00,2044.00,5538.27,116.00,Shopee < CPT
MY,Electronics,Long Tail (LT),7486845831,443689846,5077305664,9247994398,14.35,67.00,72.00,400.28,28.00,Shopee < CPT
MY,Electronics,Long Tail (LT),5389735849,7830579719,6505321057,3028644515,179.62,841.00,960.00,6998.24,39.00,Shopee < CPT
ID,Electronics,Non-Mall,1380966949,1125583387,720417613,7814708953,15.10,233757.00,271612.00,1887.51,125.00,Shopee < CPT
ID,Fashion,Mall,4106484595,1329922297,7969037222,4288002595,290.20,4492495.00,5008621.00,870.61,3.00,Shopee < CPT
MY,FMCG,Long Tail (LT),5497612477,4107988725,9269093800,7485017769,96.84,453.00,414.00,16528.08,171.00,Shopee > CPT
ID,Fashion,Cross Border,7980867821,5973845602,4379067935,629153040,116.77,1807708.00,1905330.00,10859.91,93.00,Shopee < CPT
TH,Lifestyle,Non-Mall,875618740,6326579448,1408781070,1444120937,99.36,3625.00,4335.00,18082.03,182.00,Shopee < CPT
SG,FMCG,Long Tail (LT),4844553885,582357824,1542033298,4163751196,343.82,468.00,468.00,11682.39,34.00,Shopee = CPT
TH,Fashion,Non-Mall,2475083492,3173947586,7963973620,2160307456,33.18,1210.00,1262.00,2586.71,78.00,Shopee < CPT
ID,FMCG,Long Tail (LT),796467854,4894625872,2230963569,7183473995,297.06,4598611.00,5348296.00,54955.79,185.00,Shopee < CPT
TH,Lifestyle,Mall,5316552214,752101832,4646029047,2559030865,65.13,2376.00,2669.00,12112.32,186.00,Shopee < CPT
MY,Fashion,Non-Mall,6112155168,6986521360,1906514268,899616897,1.24,5.00,4.00,172.83,162.00,Shopee > CPT
PH,Electronics,Non-Mall,5882640254,7362524706,2350827042,8596515699,20.96,1186.00,1066.00,1236.64,59.00,Shopee > CPT
VN,Electronics,Long Tail (LT),236878634,5975142185,4460089304,6113734896,96.55,2348865.00,2599659.00,4634.49,48.00,Shopee < CPT
SG,Lifestyle,Mall,3862252605,9473843894,3034666237,7745212665,459.70,626.00,658.00,27576.08,60.00,Shopee < CPT
MY,Fashion,Long Tail (LT),9485417884,9748213531,8646937319,6157317851,16.78,78.00,70.00,1947.19,117.00,Shopee > CPT
ID,Lifestyle,Long Tail (LT),4434936160,8681467119,6550377065,9145378859,101.41,1569825.00,1416421.00,6895.65,68.00,Shopee > CPT
ID,Lifestyle,Long Tail (LT),8884523002,3464764153,3179410912,2237877796,56.57,875771.00,1026070.00,2206.33,39.00,Shopee < CPT
MY,Fashion,Non-Mall,2927004140,8803422186,4006479298,6538266980,214.40,1004.00,859.00,5998.19,28.00,Shopee > CPT
PH,Electronics,Cross Border,4475466999,3231501596,428615325,8963301851,27.44,1552.00,1622.00,2413.69,88.00,Shopee < CPT
